,Pub Date,Headline+abstract,predicted
6,2013-01-02,"The iPhone Goofs Up on Telling Time, Again : On the morning of New Year’s Day, many iPhone users were affected by a bug in the Do Not Disturb feature, a feature that Apple promoted in a commercial broadcast this week.",0.0
5,2013-01-03,"Tip of the Week: How to Control the Music in iTunes 11 : If the full iTunes 11 window takes up too much screen space, you can shrink it down and still control the music.",1.0
4,2013-01-04,"Inquiry Into Tech Giants’ Tax Strategies Nears End : Companies like Apple have drawn scrutiny because of their penchant for shifting profits overseas, resulting in low American tax bills.",0.0
1,2013-01-07,"Providing a Template to Challenge Apple : MediaTek of Taiwan not only provides manufacturers with chips for their smartphones but also tells how to build and run them, cutting their costs as they compete with the iPhone.",2.0
2,2013-01-09,Q&A: Making the Mac Take Dictation : The built-in Dictation feature of OS X 10.8 for the Mac can convert your words into text.,1.0
0,2013-01-10,"The 2012 Patent Rankings: IBM on Top (Again), Google and Apple Surging : The yearly count of corporate patent winners shows I.B.M. on top in 2012, for the 20th consecutive year. But the big movement in the rankings comes from two combatants in the smartphone patent wars, Google and Apple. Both companies had surge of patents granted last year.",2.0
11,2013-01-13,"Foxconn Begins Bribery Investigation : The company, which makes the Apple iPhone and other popular products, said it was investigating whether its employees had accepted bribes from supply-chain partners.",0.0
19,2013-01-14,"Google Gains From Creating Apps for the Opposition : Google has become one of the most prolific developers of apps for the Apple iPhone, helping its rival even as their relationship worsens.",1.0
17,2013-01-14,"Daily Report: Google Invades the iPhone : For many people, smartphone shopping comes down to a choice of Apple’s iPhone or one powered by Google’s Android software. But now consumers can get an iPhone and fill it with Google, as Nick Wingfield and Claire Cain Miller report on Monday in The New York Times.",1.0
14,2013-01-15,Worry Over Sales Spurs Talk of Cheaper iPhones : Analysts say Apple must decide whether to keep catering to the high end of the market or offer something cheaper.,0.0
13,2013-01-16,"Tip of the Week: Monitor Your Memory : If your Windows PC or Mac seems to be struggling from lack of memory, you can check to see what programs and services are using your system’s resources.",1.0
12,2013-01-17,"AT&T Allows FaceTime for Limited Data Users. What About Unlimited? : After four months, AT&T is allowing more iPhone customers to use Apple’s video conferencing app, FaceTime, over its cellular network. However, customers with unlimited data plans are still left out.",0.0
10,2013-01-17,Digital Notes: Amazon Enters Apple’s Phones to Compete on Music Downloads : Amazon has stepped up its competition against iTunes with a version of its MP3 store for Apple’s iPhones and iPod Touch devices.,1.0
26,2013-01-22,"TSMC Anticipates Big Orders. Is Apple One of Them? : The chief executive of TSMC, one of the biggest semiconductor makers in the world, hinted at big orders to come, fueling the Apple rumor mill that the iPhone maker may soon shift its chip production to the Taiwanese company.",2.0
25,2013-01-23,"Heady Returns, but Apple Finds Its Stock Falling : Investors have come to expect nothing short of perfection from Apple, but with the company’s stock sinking 11 percent, it is clear there are a range of challenges.",0.0
20,2013-01-24,"For Investors, Apple Not as Shiny : The Times's Nick Wingfield talks about Apple's detrimental legacy of success.",0.0
21,2013-01-24,"Video: For Investors, Apple Not as Shiny : The Times’s Nick Wingfield talks about Apple’s detrimental legacy of success.",0.0
23,2013-01-24,"Does Apple Need a Cheaper iPhone? : In the past month, there have been reports that Apple is working on a smaller, cheaper iPhone. But the latest sales numbers do not make it appear that Apple needs to sell one.",0.0
29,2013-01-24,Band of Sisters : TimesCast: A female veteran reacts to the Pentagon lifting the combat ban for women. | Apple’s detrimental legacy of success. | Churning out skiers in Vermont. | Music at the Sundance Film Festival.,1.0
24,2013-01-25,"Apple Takes Aim at Providers of Underage Laborers : Labor recruiters in China last year knowingly provided underage workers to a supplier that built parts for products from Apple and other companies. That finding was included in Apple’s 2013 report on labor conditions at its suppliers, where more than 1.5 million workers make or assemble the ingredients that go into its products.",0.0
22,2013-01-26,"Apple May Be Big, but It Isn’t a Bellwether : In good times and bad, Apple’s stock has often gone its own way. But shares of I.B.M., whose market value isn’t as high, still appear to have more influence on the overall market.",1.0
27,2013-01-29,"Q&A: Reading Google Books on an iPhone : Even if you have an Apple iPhone, you can still shop for books with it in Google’s online store.",1.0
33,2013-02-05,Apple to Highlight Self-Published Books : The Apple iBookstore will feature a grouping of self-published books titled “Breakout Books.”,2.0
36,2013-02-06,"Apple’s iPad Dominated PC Market During Holiday Season : If you count tablets as computers, iPads far outsold personal computers in the fourth quarter worldwide.",2.0
32,2013-02-07,"Unwieldy Proposals From Einhorn and Apple : Amid a spat over preferred stock, both the hedge fund magnate and the iPad maker would benefit from a streamlined approach, the author contends.",1.0
34,2013-02-07,"Einhorn Sues Apple Over Plan to Discard Preferred Stock : David Einhorn sued Apple to block a plan to eliminate preferred shares, showing deep dissatisfaction with the company’s once-explosive stock.",0.0
35,2013-02-07,"Apple Responds to Einhorn Proposal: We’ll Think About It : Apple said in a statement on Thursday afternoon that it would continue to evaluate ways of returning some of its $137 billion cash pile to investors, after David Einhorn called on fellow stockholders to reject the company’s plan to eliminate a kind of preferred stock.",1.0
30,2013-02-08,"Following a Herd of Bulls on Apple : Even with reforms meant to reduce conflicts of interest, many analysts failed to foresee a plunge in Apple’s shares.",0.0
37,2013-02-08,"Buy, Buy, Buy : Analysts have been overwhelmingly bullish on Apple stock, even at $705 a share. Now that the stock has dropped 36 percent, they still recommend investors buy it, though some are starting to waver.",2.0
31,2013-02-10,"Disruptions: Where Apple and Dick Tracy May Converge : Though such a device has been lost to science fiction comics and spy movies of a pre-smartphone era, the smart watch might soon become a reality, in the form of a curved glass device made by Apple.",1.0
48,2013-02-11,"Daily Report: Samsung Emerges as a Potent Rival to Apple’s Cool : Apple, the maker of iPhones, iPads and iPods, has never faced a challenger able to make a truly popular and profitable smartphone or tablet — until Samsung Electronics. Yet these two rivals could not be more different, Brian X. Chen reports in Monday’s New York Times.",1.0
41,2013-02-11,"Samsung Emerges as a Potent Rival to Apple’s Cool : After sweeping the market with the iPhone and the iPad, Apple has only one real competitor. And Samsung, unlike Apple, does think people know what they want.",1.0
47,2013-02-11,"Samsung vs. Apple: The Capital Spending Battlefield : Executives at Samsung Electronics emphasize the company’s market research and design processes. But the other crucial parts to the company’s success are its huge investments in capital spending and marketing, far exceeding any other consumer electronics company.",2.0
45,2013-02-11,Why Apple Is Working on an iWatch and Not iGlasses : Why would Apple want to build an iWatch and not a competitor to Google Glass? People are already comfortable with something electronic on their wrist.,1.0
44,2013-02-12,"Unusual Moves in Confronting Apple’s Huge Pile of Cash : With $140 billion in cash at stake, Apple and the hedge fund manager David Einhorn have been acting strangely.",0.0
46,2013-02-12,"Apple Chief Hints at Shareholder Rewards to Come : Investors have been pressing Apple to distribute more of its vast cash hoard to its shareholders. Timothy D. Cook, Apple’s chief executive, said on Tuesday that the company was discussing the problem, suggesting that some kind of payout is likely soon.",2.0
42,2013-02-14,"How Lightning Tightens Apple’s Control Over Accessories : When the iPhone 5 was released in September with the new Lightning connection port, all those docks and accessories that longtime Apple customers had been collecting for years were suddenly obsolete. But it has taken a long time for new accessories compatible with Lightning to hit the market. Here’s why.",1.0
43,2013-02-19,Court Gives Investor an Edge in a Lawsuit Against Apple : A federal judge says he is leaning toward the hedge fund magnate David Einhorn’s contention in a lawsuit that Apple violated securities regulations by improperly bundling several shareholder proposals into one matter.,0.0
40,2013-02-19,"Apple Computers Hit by Sophisticated Cyberattack : Apple says its systems were attacked by the same group that hit Twitter and Facebook. Like Facebook, Apple confirmed that its employees’ computers were infected with malware when they visited a Web site for mobile developers.",0.0
49,2013-02-20,Q&A: Locking Caps on an iPhone : Apple’s iPhone keyboard has a Caps Lock function and a few other shortcuts to make typing in a small space easier.,1.0
51,2013-02-21,"In Apple Fight, Einhorn Unveils ‘iPrefs’ : Apple has introduced perhaps more innovative consumer products than any other company has over the past decade, including the iPhone. Now, the hedge fund manager David Einhorn wants the company to roll out what he calls iPrefs.",1.0
53,2013-02-21,Apple Filed Patent for Flexible Wrist Display : Apple on Thursday filed a patent for a watchlike device that could wrap around someone’s wrist. The gadget comes with a touch screen and can list recent phone calls and text messages.,1.0
50,2013-02-22,"Judge Sides With Einhorn and Halts an Apple Shareholder Vote : A federal judge on Friday ordered Apple to halt collecting shareholder votes on a contentious proposal to change some of its corporate charter, handing a victory to the hedge fund manager David Einhorn.",0.0
57,2013-02-25,"Smartphones Gain Ground in India : Apple, which has long had a minimal presence in India, is aggressively pushing the iPhone there and posing a challenge to BlackBerry.",2.0
52,2013-02-26,Why Einhorn’s Win May Be Apple’s Gain : David Einhorn’s victory against Apple in Federal District Court in Manhattan – over a shareholder proposal – may be more of a win for the technology giant.,2.0
54,2013-02-26,Apple Agrees to Settle Lawsuit Over App Purchases by Children : Apple has agreed to reimburse parents whose children purchased virtual goods in mobile apps without the parents’ knowledge. Apple and the plaintiffs in a lawsuit filed against the company in 2011 last week asked a judge to approve a settlement over such unauthorized “in-app purchases.”,2.0
59,2013-02-27,"Bringing Order to Loyalty Cards, E-Tickets and More : Digital versions of loyalty cards, coupons, boarding passes and tickets are migrating to iPhones and iPod Touches.",1.0
55,2013-02-27,"Samsung Takes Low-Key Approach on Cellphones After Reaching the Top : At the Mobile World Congress in Barcelona, the industry’s largest convention in Europe, Samsung appears to be borrowing a page from Apple.",1.0
56,2013-02-27,"Q&A: Moving iTunes Libraries : When it comes time to move your iTunes library to a new computer, you have several ways to transplant your collection to the other machine.",1.0
62,2013-03-01,"Judge Cuts Sum Owed to Apple Over Patents : A federal judge lessened the blow from Apple’s legal victory in a patent case over Samsung, lopping more than 40 percent off the damages.",0.0
60,2013-03-05,"Q&A: Keyboarding With an Apple TV : The Apple TV set-top box can now work with wireless Bluetooth keyboards, but you do not have to use an Apple-branded model.",1.0
61,2013-03-07,"Apple’s Internet Radio Service Said to Be Delayed : The company’s efforts to create an Internet radio service to compete with Pandora has been delayed by licensing negotiations with music companies, according to a number of people briefed on the talks.",0.0
63,2013-03-09,Putting Corporate Cash to Work : What should profitable companies like Apple do with their growing piles of money?,1.0
76,2013-03-11,Q&A: Importing Camera Photos to an iPad Mini : The iPad Camera Connection Kit and many other accessories designed for older iPads will not work with the iPad Mini without the right adapters.,1.0
78,2013-03-13,"Today’s Scuttlebot: Sonic Resurgent and Inside a Pebble Watch : The technology reporters and editors of The New York Times scour the Web for important and peculiar items. For Wednesday, selections include an app for moving to better seats at a baseball park during the game, Apple criticizing Android smartphones and a look at the growth of Internet technology in emerging nations.",1.0
75,2013-03-14,"Reselling E-Books and the One-Penny Problem : Among other questions raised by proposals from Apple and Amazon for e-book resales is this one: When a resold digital book is just as good as a new one, what happens to prices?",1.0
