Pub Date,Headline,Snippet,Lead Paragraph,abstract,Source,Web URL
2017-01-02T17:10:45+0000,Growing a Different Apple,"At Pearl Automation, former Apple employees are blending their old employer’s high quality standards with less paranoia and more openness.","At Apple, Brian Latimer was in charge of protecting some of the company’s deepest secrets.","At Pearl Automation, former Apple employees are blending their old employer’s high quality standards with less paranoia and more openness.",The New York Times,https://www.nytimes.com/2017/01/02/technology/pearl-automation-apple-alumni.html
2017-01-05T16:48:35+0000,Daily Report: Apple Takes Down The Times’s News App in China,"The move came after company and Chinese officials were interviewed for an article about perks for the world’s biggest iPhone plant, in Zhengzhou.","If you are reading this in China, congratulations. Not many people are.","The move came after company and Chinese officials were interviewed for an article about perks for the world’s biggest iPhone plant, in Zhengzhou.",The New York Times,https://www.nytimes.com/2017/01/05/technology/daily-report-apple-takes-down-the-timess-news-app-in-china.html
2017-01-04T20:21:33+0000,Apple Removes New York Times Apps From Its Store in China,The technology giant said it was complying with a request from Chinese authorities. Apps from other international publications were still available.,"Apple, complying with what it said was a request from Chinese authorities, removed news apps created by The New York Times from its app store in China late last month.",The technology giant said it was complying with a request from Chinese authorities. Apps from other international publications were still available.,The New York Times,https://www.nytimes.com/2017/01/04/business/media/new-york-times-apps-apple-china.html
2017-01-03T16:39:42+0000,"Daily Report: An Ex-Apple Employee Firm, Far From the Tree",Pearl Automation’s staff learned design and teamwork at Apple. The workers want to forget about their old employer’s culture of secrecy.,"Can a company be successful like Apple, without being Apple to the core?",Pearl Automation’s staff learned design and teamwork at Apple. The workers want to forget about their old employer’s culture of secrecy.,The New York Times,https://www.nytimes.com/2017/01/03/technology/daily-report-an-ex-apple-employee-firm-far-from-the-tree.html
2017-01-07T00:53:46+0000,Russia Requires Apple and Google to Remove LinkedIn From Local App Stores,The move came after a November court ruling found the professional networking service in violation of Russia’s internet laws.,"WASHINGTON — Smartphone users in Russia can no longer download the LinkedIn app on iPhone or Android devices, following a similar move in China to block The New York Times app on iPhones.",The move came after a November court ruling found the professional networking service in violation of Russia’s internet laws.,The New York Times,https://www.nytimes.com/2017/01/06/technology/linkedin-blocked-in-russia.html
2017-01-07T14:30:03+0000,Farhad and Mike’s Week in Tech: Snoozing at CES,"Medium got smaller, and the annual consumer electronics show landed with a thud.","Each Saturday, Farhad Manjoo and Mike Isaac, technology reporters at The New York Times, review the week’s news, offering analysis and maybe a joke or two about the most important developments in the tech industry.","Medium got smaller, and the annual consumer electronics show landed with a thud.",The New York Times,https://www.nytimes.com/2017/01/07/technology/farhad-and-mikes-week-in-tech-snoozing-at-ces.html
2017-01-09T20:38:20+0000,"Candid, Never-Before-Seen Photos of Robin Williams, Leonard Cohen, Jay Z and More","Mark Romanek, best known for directing music videos, has snapped his friends for years; now, he’s showing those images for the first time at Colette.","The last three decades of MTV might have looked very different without the influence of the filmmaker Mark Romanek. Since the beginning of his career in 1986, the director has made, along with three feature films, music videos for everyone from Michael and Janet Jackson (“Scream”) to Fiona Apple (“Criminal”) to Jay Z (“99 Problems,” “Picasso Baby”) and Taylor Swift (“Shake It Off”). Throughout all this, Romanek has taken pictures, too; and starting today, he’ll show around 30 of those black-and-white photos for the first time ever at Colette in Paris.","Mark Romanek, best known for directing music videos, has snapped his friends for years; now, he’s showing those images for the first time at Colette.",The New York Times,https://www.nytimes.com/2017/01/09/t-magazine/fashion/mark-romanek-colette-photographs.html
2017-01-05T16:56:21+0000,"In China, Reaction to Times App Removal","Apple has taken down news apps created by The New York Times from its app store in China, following a request from the local authorities.","Apple has taken down news apps created by The New York Times from its app store in China, following a request from the local authorities.","Apple has taken down news apps created by The New York Times from its app store in China, following a request from the local authorities.",Reuters,https://www.nytimes.com/video/world/asia/100000004855092/in-china-reaction-to-times-app-removal.html
2017-01-05T16:24:11+0000,Bringing iCloud Files Down to Earth,The files you have stored on Apple’s iCloud servers can be saved and stored on your computer.,Q. I want to download specific files from my iCloud account in order to have them physically on my laptop and delete them from iCloud. How do I do this?,The files you have stored on Apple’s iCloud servers can be saved and stored on your computer.,The New York Times,https://www.nytimes.com/2017/01/05/technology/personaltech/bringing-icloud-files-down-to-earth.html
2017-01-05T21:29:04+0000,Coming From Automakers: Voice Control That Understands You Better,"Ford Motor is announcing it will incorporate Amazon’s Alexa into its vehicles, one of many efforts by automakers to improve voice-recognition systems.","EVERY once in a while, just for laughs, Kevin Smith-Fagan tries to call a friend of his, Priscilla, using the voice-recognition system in his 2013 Chevrolet Volt.","Ford Motor is announcing it will incorporate Amazon’s Alexa into its vehicles, one of many efforts by automakers to improve voice-recognition systems.",The New York Times,https://www.nytimes.com/2017/01/05/automobiles/automakers-voice-control-amazon-alexa.html
2017-01-18T19:46:48+0000,Fiona Apple Releases a Trump Protest Chant,"The chant is on a new track, called “Tiny Hands,” the singer created for the women’s march in Washington after Donald Trump’s inauguration.","On Saturday, hundreds of thousands of women are expected to march in Washington after Donald J. Trump is sworn in as the 45th president of the United States. This past Tuesday, the singer-songwriter Fiona Apple gave those preparing to protest a signature chant.","The chant is on a new track, called “Tiny Hands,” the singer created for the women’s march in Washington after Donald Trump’s inauguration.",The New York Times,https://www.nytimes.com/2017/01/18/arts/music/fiona-apple-tiny-hands-womens-march.html
2017-01-18T16:39:35+0000,"iPhone, Take a Message",Newer iPhones can convert a voice mail recording into text so you don’t have to play it to get it.,"Q. I thought the iPhone was supposed to transcribe voice mail messages, but that doesn’t seem to be happening on mine. Is there a setting I need to turn on to make it work?",Newer iPhones can convert a voice mail recording into text so you don’t have to play it to get it.,The New York Times,https://www.nytimes.com/2017/01/18/technology/personaltech/iphone-take-a-message.html
2017-01-18T10:00:26+0000,Clearing Out the App Stores: Government Censorship Made Easier,"App stores backed by giant corporations have created choke points for the internet, which governments are now exploiting.","There’s a new form of digital censorship sweeping the globe, and it could be the start of something devastating.","App stores backed by giant corporations have created choke points for the internet, which governments are now exploiting.",The New York Times,https://www.nytimes.com/2017/01/18/technology/clearing-out-the-app-stores-government-censorship-made-easier.html
2017-01-13T17:49:43+0000,Find and Use Emoji Symbols on Your Computer,"Those expressive graphic characters aren’t just for mobile gadgets, and you can work them into documents on your Mac or PC.","Q. I see the icon to add emoji to iMessages on Mac, but how do you add the characters to documents and email messages?","Those expressive graphic characters aren’t just for mobile gadgets, and you can work them into documents on your Mac or PC.",The New York Times,https://www.nytimes.com/2017/01/13/technology/personaltech/find-and-use-emoji-symbols-on-your-computer.html
2017-01-18T00:00:00+0000,Morning Glory Muffins,,"Glory may be a big goal for the morning, but it is attainable. These nourishing muffins are packed with vegetables, fruit, nuts and coconut to keep everyone singing your praises well past breakfast. A bit of spice, brown sugar and whole-wheat flour round out the flavor and make them irresistible. If you’re striving for even more accolades, try topping them with a swirl of cream frosting, which turns them into sweet and satisfying cupcakes.",,,https://cooking.nytimes.com/recipes/1018519-morning-glory-muffins
2017-01-18T16:52:18+0000,Daily Report: A New Form of Censorship in App Stores,"As information on the internet has become centralized in a few companies, it has become much easier for countries to limit access to that data.","Different governments have different ways of controlling what information their citizens do or do not see. In recent years, technology — used to do things like blocking websites or choking off social media feeds — has become crucial to those governments’ efforts.","As information on the internet has become centralized in a few companies, it has become much easier for countries to limit access to that data.",The New York Times,https://www.nytimes.com/2017/01/18/technology/daily-report-a-new-form-of-censorship-in-app-stores.html
2017-01-11T17:35:51+0000,How an Overstuffed Mac Gets Its Drive Back,The latest version of Apple’s operating system has a feature that allows the computer to automatically delete certain files when space gets tight.,Q. What is “purgeable” storage? I couldn’t understand the explanation in the Community Discussion at Apple Support on this.,The latest version of Apple’s operating system has a feature that allows the computer to automatically delete certain files when space gets tight.,The New York Times,https://www.nytimes.com/2017/01/11/technology/personaltech/how-an-overstuffed-mac-gets-its-drive-back.html
2017-01-11T12:06:37+0000,Corporate Responsibility for Distracted Driving,Should it be a company's responsibility to make social media and other distracting phone apps unworkable when they are used in a moving car?,,Should it be a company's responsibility to make social media and other distracting phone apps unworkable when they are used in a moving car?,The New York Times,https://www.nytimes.com/roomfordebate/2017/01/11/apples-corporate-responsibility-for-distracted-driving
2017-01-19T18:07:50+0000,The Wide World of Emoji,"The expressions may be similar, but emoji characters look a bit different across various systems.","Q. Do emoji look the same everywhere, like from Android to iPhone to Windows? And how do you get icons of people in different races?","The expressions may be similar, but emoji characters look a bit different across various systems.",The New York Times,https://www.nytimes.com/2017/01/19/technology/personaltech/the-wide-world-of-emoji.html
2017-01-20T15:14:49+0000,How Your Phone Knows Where You Have Been,"Most smartphones can store a visual history of your travels based on your GPS data, but you can turn it off.","Q. Is it true my phone keeps a map that tracks my whereabouts? Why, and if so, where can I see it?","Most smartphones can store a visual history of your travels based on your GPS data, but you can turn it off.",The New York Times,https://www.nytimes.com/2017/01/20/technology/personaltech/how-your-phone-knows-where-you-have-been.html
