Pub Date,Headline,Snippet,Lead Paragraph,abstract,Source,Web URL
2023-01-06T13:00:07+0000,Streaming Changed TV. Is TV Changing Streaming Back?,A decade of bingeing has transformed storytelling and viewing habits. But we may be starting to hit that transformation’s limits.,"This is not a review of “Kaleidoscope.” One reason for this is that the Netflix heist series, which arrived on Sunday, is not especially noteworthy, except for one gimmick. The other reason has to do with the nature of that gimmick.",A decade of bingeing has transformed storytelling and viewing habits. But we may be starting to hit that transformation’s limits.,The New York Times,https://www.nytimes.com/2023/01/06/arts/television/kaleidoscope-netflix-streaming.html
2023-01-06T17:05:57+0000,Review: ‘Are We Not Drawn Onward to New Era’ Stages a Disaster in Reverse,The Under the Radar festival kicks off with an allegory about climate destruction by the Belgian provocateurs Ontroerend Goed.,"Stop me if you’ve heard this one before: A woman. A man. A tree. An apple. So begins “Are We Not Drawn Onward to New Era,” a performance piece by the Belgian provocateurs Ontroerend Goed, presented by the Brooklyn Academy of Music in association with the Public Theater’s Under the Radar festival. In the show’s first minutes, an apple is plucked and eaten, a paradise destroyed. Then the story changes.",The Under the Radar festival kicks off with an allegory about climate destruction by the Belgian provocateurs Ontroerend Goed.,The New York Times,https://www.nytimes.com/2023/01/06/theater/are-we-not-drawn-onward-to-new-era-review.html
2023-01-03T10:00:15+0000,Sabbath and the Art of Rest,Judith Shulevitz shares the wisdom of the Sabbath and its offering to a modern world that struggles to unplug.,Do we know how to truly rest? Who would we be if we did?,Judith Shulevitz shares the wisdom of the Sabbath and its offering to a modern world that struggles to unplug.,The New York Times,https://www.nytimes.com/2023/01/03/opinion/ezra-klein-podcast-judith-shulevitz.html
2023-01-06T10:00:21+0000,A Skeptical Take on the A.I. Revolution,The A.I. expert Gary Marcus asks: What if ChatGPT isn’t as intelligent as it seems?,"The year 2022 was jam-packed with advances in artificial intelligence, from the release of image generators like DALL-E 2 and text generators like Cicero to a flurry of developments in the self-driving car industry. And then, on November 30, OpenAI released ChatGPT, arguably the smartest, funniest, most humanlike chatbot to date.",The A.I. expert Gary Marcus asks: What if ChatGPT isn’t as intelligent as it seems?,The New York Times,https://www.nytimes.com/2023/01/06/opinion/ezra-klein-podcast-gary-marcus.html
2023-01-10T10:00:12+0000,"Dan Savage on Polyamory, Chosen Family and Better Sex","The advice columnist discusses how dating, sex and relationships have changed over the past 30 years — and where they should go next.","Even if you don’t recognize the advice columnist Dan Savage by name, it’s possible that his ideas have influenced how you think about sex and relationships. For decades now, Savage has been arguing that our expectations for long-term partnerships are way too high; that healthy relationships are about acknowledging our vast spectrum of desires, not repressing them; and that monogamy is not the ideal setup for every partnership. Through over 30 years of writing “Savage Love,” one of the most widely read sex advice columns in the country, and more than 17 years of hosting the podcast “Savage Lovecast,” he has been one of America’s most subtly influential public intellectuals on the topic of how humans conduct our most intimate — and important — relationships.","The advice columnist discusses how dating, sex and relationships have changed over the past 30 years — and where they should go next.",The New York Times,https://www.nytimes.com/2023/01/10/opinion/ezra-klein-podcast-dan-savage.html
2023-01-06T14:54:21+0000,The Year of Bad Bunny,"With a blockbuster LP and a smash tour, the genre-melding superstar set a new bar for himself, and expanded the possibilities for Spanish-language pop worldwide.","Saying that 2022 was the year of Bad Bunny somehow doesn’t quite do his success justice. His LP “Un Verano Sin Ti” was the most streamed album of the year, breaking several records along the way. He was the year’s top grossing touring act — including two sold-out shows at Yankee Stadium. “Un Verano Sin Ti” is the first release performed entirely in Spanish to be nominated for album of the year at the Grammys.","With a blockbuster LP and a smash tour, the genre-melding superstar set a new bar for himself, and expanded the possibilities for Spanish-language pop worldwide.",The New York Times,https://www.nytimes.com/2023/01/06/arts/music/popcast-bad-bunny.html
2023-01-06T10:00:12+0000,TikTok’s Spying Scandal and ChatGPT’s Challenge to Google,TikTok skeptics now have a smoking gun.,"Calls to ban TikTok or force its sell-off from its parent company ByteDance are gaining momentum, especially after reports of ByteDance’s surveillance of several U.S. journalists. And could Microsoft’s investment in OpenAI mark the end of Google’s search monopoly?",TikTok skeptics now have a smoking gun.,The New York Times,https://www.nytimes.com/2023/01/06/podcasts/hard-fork-tiktok-microsoft-chatgpt.html
2023-01-05T10:00:13+0000,The Veteran Outing Domestic Extremists,Veterans are valuable recruits for far-right groups. Kris Goldsmith wants them to fight back.,"With domestic extremism on the rise in the United States, much attention has been given to the military veterans who join extremist groups. And for good reason; many of the leaders behind the Capitol riot on Jan. 6 were veterans. Kris Goldsmith is a veteran who joined the military after the Sept. 11 attacks. After returning from Iraq, he fell down antigovernment rabbit holes on the internet. Now he is an activist and researcher who ferrets out right-wing extremists online. And he’s developed an understanding of how and why veterans are recruited by such groups.",Veterans are valuable recruits for far-right groups. Kris Goldsmith wants them to fight back.,The New York Times,https://www.nytimes.com/2023/01/05/opinion/veterans-domestic-extremists.html
2023-01-05T12:00:06+0000,‘Candy Land’ Review: Truck-Stop Thrills,"In this sleazy slasher by the writer and director John Swab, a group of sex workers adopts a former member of a religious cult.","In “Candy Land,” a group of truck-stop sex workers, or “lot lizards,” assembles daily by a gas-station bench, scarfing down Twinkies and Coca-Cola between sexual romps in the back seat or the bathroom stall. It’s not glamorous, but there is a certain allure to their world and its trailer-park chic, sustained by the patchwork heart of their found family. Girlfriends Sadie (Sam Quartin) and Liv (Virginia Rand), Riley (Eden Brolin), Levi (Owen Campbell), and Nora (Guinevere Turner), their madam of sorts, all live in a motel, but together they make it feel like home.","In this sleazy slasher by the writer and director John Swab, a group of sex workers adopts a former member of a religious cult.",The New York Times,https://www.nytimes.com/2023/01/05/movies/candy-land-review.html
2023-01-08T11:00:09+0000,"The Sunday Read: ‘She Fell Nearly 2 Miles, and Walked Away’","At 17, Juliane Diller was the sole survivor of a plane crash in the Amazon. Fifty years later she runs a research station founded by her parents.","On Christmas Eve in 1971, Juliane Diller, then 17, and her mother boarded a flight in Lima, Peru. She was headed for Panguana, a biological research station in the belly of the Amazon, where for three years she had lived, on and off, with her mother, Maria, and her father, Hans-Wilhelm Koepcke, both zoologists.","At 17, Juliane Diller was the sole survivor of a plane crash in the Amazon. Fifty years later she runs a research station founded by her parents.",The New York Times,https://www.nytimes.com/2023/01/08/podcasts/the-daily/amazon-plane-crash-panguana.html
